_id,post_id,post_type,posted_at,likes,shares,comments,views,save_count
a5fddb12-66ef-476b-ba29-cfe3dd297767,3556,reel,2024-12-28T18:38:24.076877,134,124,54,7859,49
0ed4da0b-8172-48a6-bc72-f6da600cb879,2973,carousel,2025-01-07T18:38:24.076877,288,177,48,7721,35
8e464527-23ad-4411-8d7d-c7a71aeef9b0,3000,reel,2024-12-27T18:38:24.076877,369,69,48,3676,13
bd7c5ef5-a186-4cea-a68b-bb6fdef8ddc2,4534,static_image,2025-01-05T18:38:24.076877,256,182,90,6943,6
387a07f7-7424-4414-b4bd-fedf26d86345,2421,static_image,2024-12-15T18:38:24.076877,841,81,76,5089,31
15994831-7860-4a8c-869e-deece2531655,1618,static_image,2024-12-22T18:38:24.076877,988,61,96,4760,47
37e72aca-5fcf-42a1-9950-20ff4d13f8ff,3248,carousel,2024-12-30T18:38:24.076877,308,31,74,5277,50
978bcebb-9dca-4a5f-815e-7c9e2b860404,4418,static_image,2025-01-07T18:38:24.076877,167,94,10,7567,46
4610af8e-05a6-41ab-8e2a-8405aa931f29,2272,static_image,2025-01-02T18:38:24.076877,943,54,61,2818,17
b0d92fb5-4156-442f-9972-2d5fa2120926,1285,carousel,2024-12-28T18:38:24.076877,537,141,71,3278,33
613422c3-5e6c-49e1-b77b-115e81ce2cd7,3129,static_image,2024-12-16T18:38:24.076877,651,29,30,7393,45
5174661d-6b69-48bd-961e-f2b64aac253e,2146,static_image,2024-12-19T18:38:24.076877,486,45,86,5219,39
3a221454-8076-4513-ba56-55d89b698dda,4385,reel,2025-01-07T18:38:24.076877,392,172,7,5235,5
baf2ab06-00f6-4663-8ac7-b6873a68654b,2211,carousel,2024-12-14T18:38:24.076877,260,92,63,1077,14
e6708704-4fd1-4026-9dab-d29901eb3d8f,2374,static_image,2025-01-01T18:38:24.076877,314,29,12,7291,18
1805a8be-b20c-4477-ab5b-76f1acc162f6,4147,reel,2024-12-26T18:38:24.076877,236,162,82,4111,49
f2a90c39-02fd-4411-9b1a-2ef05b8de293,3714,static_image,2024-12-31T18:38:24.076877,166,26,93,3815,25
4b92d64a-9287-46aa-9147-7080922f2ddb,1924,static_image,2024-12-27T18:38:24.076877,866,146,27,8171,19
0d1f0c4a-c0b2-4c88-b439-abe528d9dc84,448,static_image,2024-12-19T18:38:24.076877,295,19,61,1225,34
6acdfe16-fac7-4ded-9cc2-347543ecb090,1299,reel,2024-12-27T18:38:24.076877,442,164,94,7511,13
